,country
0,Benin
78,Burkina Faso
129,Burundi
189,Cameroon
249,Central African Republic
309,Chad
379,Congo
429,Democratic Republic of the Congo
599,Djibouti
652,Egypt
761,Ethiopia
792,Gambia
888,Ghana
933,Guinea
980,Guinea-Bissau
1077,Ivory Coast
1174,Kenya
1251,Lesotho
1293,Liberia
1349,Madagascar
1380,Malawi
1409,Mali
1483,Mauritania
1537,Mozambique
1662,Niger
1737,Nigeria
1793,Rwanda
1989,Senegal
2073,South Sudan
2125,Sudan
2171,Swaziland
2235,Uganda
2273,United Republic of Tanzania
2305,Yemen
2381,Zambia
2435,Zimbabwe
